x, y
1063.5305167264228, 20.831099195710454
1323.6581154517569, 21.4343163538874
1594.864497824482, 21.83646112600536
1860.3465267671618, 22.27882037533512
2117.9001195967035, 22.60053619302949
2391.650005728268, 22.92225201072386
2657.3626237239464, 23.203753351206434
2928.765112617679, 23.44504021447721
3175.9913397500427, 23.726541554959784
3444.0867062745597, 23.927613941018766
3704.668619814501, 24.128686327077748
3984.9663359619753, 24.289544235924932
4251.874825453658, 24.410187667560322
4500.044488427181, 24.490616621983914
4762.699098429647, 24.571045576407506
5040.684100016677, 24.6112600536193
