x, y
12.775649214671148, 9.482142857142856
38.280598874331176, 13.392857142857142
63.7169999282123, 14.517857142857142
89.78245765459629, 15.428571428571427
114.70291846261881, 16.07142857142857
140.90816855117316, 16.607142857142858
166.4472390763389, 17.035714285714285
190.91984092101336, 17.410714285714285
216.85538582509568, 17.732142857142858
241.53425010859465, 17.94642857142857
269.02165124261296, 18.160714285714285
293.8225383971009, 18.32142857142857
317.780804061965, 18.482142857142858
340.34148825183075, 18.58928571428571
368.0929052697195, 18.642857142857142
394.22547112067946, 18.69642857142857
