x, y
1.0081368200033356, 1.0053619302949062
1.1111001264228744, 1.1260053619302948
1.2345434909369277, 1.2466487935656836
1.3606302256176088, 1.3672922252010724
1.49959448529368, 1.5281501340482573
1.6661996221928532, 1.6890080428954424
1.8663784246223722, 1.8900804289544235
2.0569958981797547, 2.091152815013405
2.2670815678682366, 2.292225201072386
2.5189546166693657, 2.5335120643431637
2.776221180995607, 2.774798927613941
3.0846597051820805, 3.0563002680965146
3.427365788399357, 3.3780160857908847
3.746922418576021, 3.6997319034852545
4.0632118638822945, 3.981233243967828
4.406200290922534, 4.302949061662198
4.778141444284836, 4.664879356568364
5.181479314189843, 5.02680965147453
5.573513519426132, 5.388739946380697
5.995209295954302, 5.710455764075067
6.4488108581815435, 6.072386058981233
6.936732219284507, 6.434316353887399
7.401346613124943, 6.7962466487935655
7.961337469251408, 7.158176943699732
8.563697609690157, 7.560321715817694
9.137284285401474, 7.92225201072386
9.828617351816598, 8.324396782841823
10.486926905774682, 8.726541554959786
11.280374839382663, 9.088471849865952
12.133855576594925, 9.490616621983914
13.051911239655324, 9.892761394101877
14.153663906246742, 10.335120643431635
15.4733062851962, 10.737265415549597
16.915987901183826, 11.179624664879356
18.64365622070125, 11.621983914209116
20.21742557746511, 12.024128686327078
22.463584115066535, 12.42627345844504
24.75784105383505, 12.788203753351207
27.286415672014193, 13.109919571045577
30.073239367154308, 13.431635388739947
33.41438006279053, 13.753351206434315
37.42881536562124, 14.075067024128685
41.58716148460018, 14.35656836461126
46.96252390873197, 14.67828418230563
52.180066252129336, 14.919571045576408
57.97727820949489, 15.20107238605898
64.94272338516089, 15.442359249329758
72.74500374856885, 15.683646112600536
81.48465747262537, 15.965147453083109
91.2743014816562, 16.246648793565683
101.41488791542778, 16.48793565683646
114.52330306778175, 16.769436997319033
127.24685651697745, 17.010723860589813
141.38399836292712, 17.292225201072387
157.09177845521978, 17.533512064343164
175.9649336665402, 17.815013404825738
193.93663257159736, 18.056300268096514
212.01866425381604, 18.29758713136729
233.67261266744006, 18.53887399463807
263.8760441314119, 18.86058981233244
290.82630470079414, 19.101876675603215
325.7664526966199, 19.423592493297587
361.95914677554566, 19.664879356568363
395.70706058057715, 19.906166219839143
439.67016503750324, 20.187667560321714
492.4925555415681, 20.469168900804288
556.1498450202712, 20.79088471849866
622.9662147185201, 21.072386058981234
697.8099664247434, 21.394101876675602
775.3367419136739, 21.675603217158177
861.4767519605825, 21.95710455764075
980.7429367353839, 22.27882037533512
1037.98607160291, 22.439678284182307
1125.6057237193513, 22.640750670241285
1230.5536032823627, 22.882037533512065
1356.2328416619412, 23.12332439678284
1494.7479865128337, 23.404825737265416
1674.3284268686416, 23.726541554959784
1906.128952046083, 24.08847184986595
2170.02084150444, 24.450402144772116
2450.507608924842, 24.812332439678283
2767.24878699109, 25.17426273458445
3124.9304516395528, 25.536193029490615
3500.362559025025, 25.857908847184987
3889.2532818586005, 26.13941018766756
4286.471565585088, 26.380697050938338
4648.306042615777, 26.541554959785522
5040.684100016677, 26.621983914209114
