  -1.4159043967336056e-02	   1.2546232495997472e-01	
   3.6168607830833033e-01	   1.2539736407464314e-01	
   7.3105111226889874e-01	   1.2526744230397993e-01	
   1.1392966761200534e+00	   1.2500759876265355e-01	
   1.5216218867108169e+00	   1.2487767699199034e-01	
   1.9557878038223626e+00	   1.2455287256533237e-01	
   2.3575532793584193e+00	   1.2416310725334279e-01	
   2.6815576951133036e+00	   1.2390326371201639e-01	
   3.0185222874983837e+00	   1.2370838105602161e-01	
   3.2518054668419003e+00	   1.2331861574403202e-01	
   3.4462081162948324e+00	   1.2305877220270564e-01	
   3.6470908540628590e+00	   1.2273396777604767e-01	
   3.8285333268855957e+00	   1.2247412423472129e-01	
   4.0942169478046004e+00	   1.2182451538140530e-01	
   4.4311815401896810e+00	   1.2098002387209456e-01	
   4.7681461325747607e+00	   1.1968080616546262e-01	
   5.1245509899051322e+00	   1.1838158845883069e-01	
   5.3837545225090420e+00	   1.1708237075219877e-01	
   5.6494381434280463e+00	   1.1584811393089842e-01	
   5.9151217643470515e+00	   1.1441897445360330e-01	
   6.1743252969509612e+00	   1.1292487409097657e-01	
   6.4918496243907464e+00	   1.1104100841636028e-01	
   6.8158540401456333e+00	   1.0863745565909119e-01	
   7.1009779260099313e+00	   1.0655870732848011e-01	
   7.3925819001893247e+00	   1.0428507634187421e-01	
   7.6891327516748085e+00	   1.0173211496785653e-01	
   7.9586173582923978e+00	   9.9030614960776489e-02	
   8.2685246559026258e+00	   9.5653739951926442e-02	
   8.5110608018584575e+00	   9.2952239944846415e-02	
   8.7401227174834091e+00	   8.9845514936704354e-02	
   8.9961330937701209e+00	   8.6603714928208328e-02	
   9.2790919307185895e+00	   8.3091764919004274e-02	
   9.5351023070052996e+00	   8.0120114911216234e-02	
   9.7776384529611295e+00	   7.7283539903782172e-02	
   9.9932261382552028e+00	   7.4582039896702146e-02	
   1.0168391132556636e+01	   7.2690989891746119e-02	
   1.0397453048181587e+01	   7.0124564885020099e-02	
   1.0653463424468297e+01	   6.7423064877940045e-02	
   1.0976844952409404e+01	   6.4316339869797998e-02	
   1.1273278019688755e+01	   6.0939464860947951e-02	
   1.1583185317298984e+01	   5.7967814853159910e-02	
   1.1973937996894488e+01	   5.4455864843955863e-02	
   1.2405113367482635e+01	   5.0943914834751816e-02	
   1.2795866047078141e+01	   4.8107339827317776e-02	
   1.3227041417666284e+01	   4.5270764819883742e-02	
   1.3631268327592670e+01	   4.2839414813511702e-02	
   1.4062443698180813e+01	   4.0543139807493675e-02	
   1.4560990220423349e+01	   3.8111789801121634e-02	
   1.5019114051673256e+01	   3.5950589795457615e-02	
   1.5450289422261399e+01	   3.4329689791209581e-02	
   1.5867990562518667e+01	   3.2573714786607554e-02	
   1.6299165933106810e+01	   3.1087889782713540e-02	
   1.6824660916011108e+01	   2.9602064778819510e-02	
   1.7309733207922772e+01	   2.8116239774925497e-02	
   1.7713960117849158e+01	   2.7035639772093487e-02	
   1.8091238567113781e+01	   2.5955039769261473e-02	
   1.8508939707371049e+01	   2.5144589767137456e-02	
   1.8886218156635675e+01	   2.4199064764659450e-02	
   1.9250022375569422e+01	   2.3388614762535429e-02	
   1.9532981212517889e+01	   2.2983389761473429e-02	
   1.9883311201120755e+01	   2.2172939759349412e-02
   2.0000000000000000e+01      2.216e-02	
