time, kinetic_energy
-0.0010504201680672268, 2
0.009453781512605041, 1.9851301115241635
0.01995798319327731, 1.9677819083023544
0.03046218487394958, 1.952912019826518
0.03991596638655462, 1.9380421313506815
0.04936974789915966, 1.9231722428748452
0.05987394957983193, 1.9083023543990087
0.06932773109243698, 1.8934324659231723
0.07983193277310924, 1.8785625774473358
0.09033613445378151, 1.8636926889714993
0.09978991596638655, 1.8513011152416357
0.1092436974789916, 1.8364312267657992
0.11974789915966386, 1.8240396530359355
0.13025210084033612, 1.8091697645600993
0.13970588235294118, 1.7967781908302354
0.15021008403361344, 1.7819083023543991
0.15966386554621848, 1.7695167286245352
0.17016806722689076, 1.7571251548946716
0.1796218487394958, 1.744733581164808
0.19117647058823528, 1.7323420074349443
0.20168067226890757, 1.7174721189591078
0.21323529411764705, 1.7050805452292441
0.2237394957983193, 1.6926889714993805
0.23529411764705882, 1.6802973977695168
0.24579831932773108, 1.6654275092936803
0.25735294117647056, 1.6530359355638167
0.26785714285714285, 1.6431226765799256
0.27836134453781514, 1.6282527881040891
0.28886554621848737, 1.6158612143742255
0.29936974789915966, 1.6034696406443618
0.30987394957983194, 1.5861214374225527
0.31932773109243695, 1.5662949194547708
0.32668067226890757, 1.5489467162329615
0.33403361344537813, 1.5291201982651796
0.34138655462184875, 1.5092936802973977
0.3476890756302521, 1.4869888475836432
0.35504201680672265, 1.4646840148698885
0.36239495798319327, 1.4448574969021066
0.3686974789915966, 1.4250309789343247
0.37710084033613445, 1.4052044609665428
0.384453781512605, 1.385377942998761
0.3939075630252101, 1.365551425030979
0.40231092436974786, 1.3506815365551426
0.4117647058823529, 1.335811648079306
0.421218487394958, 1.318463444857497
0.4317226890756302, 1.3035935563816605
0.4422268907563025, 1.2912019826517969
0.45168067226890757, 1.2788104089219332
0.463235294117647, 1.2639405204460967
0.4737394957983193, 1.2540272614622057
0.4852941176470588, 1.241635687732342
0.49579831932773105, 1.2267657992565055
0.5073529411764706, 1.2168525402726147
0.5178571428571428, 1.204460966542751
0.5283613445378151, 1.19454770755886
0.5399159663865546, 1.1846344485749691
0.551470588235294, 1.1722428748451053
0.5619747899159664, 1.1623296158612144
0.5735294117647058, 1.1499380421313508
0.5840336134453781, 1.137546468401487
0.5945378151260504, 1.1251548946716232
0.6060924369747899, 1.1152416356877324
0.6165966386554621, 1.1028500619578687
0.6281512605042017, 1.090458488228005
0.6386554621848739, 1.0780669144981412
0.6502100840336135, 1.0656753407682775
0.6607142857142857, 1.0532837670384139
0.6722689075630252, 1.0408921933085502
0.6827731092436975, 1.0309789343246591
0.6932773109243697, 1.0185873605947955
0.7048319327731092, 1.0061957868649318
0.7153361344537815, 0.9962825278810409
0.726890756302521, 0.9863692688971499
0.7373949579831932, 0.976456009913259
0.7489495798319328, 0.966542750929368
0.759453781512605, 0.9566294919454771
0.7710084033613445, 0.9491945477075588
0.7815126050420168, 0.9417596034696406
0.7930672268907563, 0.9318463444857497
0.8046218487394957, 0.9244114002478315
0.8172268907563025, 0.9144981412639406
0.828781512605042, 0.9070631970260223
0.8413865546218487, 0.8971499380421314
0.8529411764705882, 0.8897149938042132
0.8644957983193277, 0.8798017348203222
0.8760504201680672, 0.872366790582404
0.8886554621848739, 0.8649318463444857
0.9012605042016806, 0.8574969021065676
0.9128151260504201, 0.8500619578686494
0.9254201680672268, 0.8426270136307311
0.9369747899159664, 0.8351920693928129
0.9485294117647058, 0.8277571251548946
0.9611344537815125, 0.8203221809169765
0.9726890756302521, 0.8128872366790583
0.9852941176470588, 0.80545229244114
0.9968487394957983, 0.8004956629491946
