x, y
0.41271120356092356, 0.40816326530612246
1.1973780499986715, 1.1904761904761907
1.9765980717016338, 1.9727891156462587
2.4040991835099716, 2.3809523809523814
3.137607680703797, 3.0952380952380953
4.498432668969444, 4.35374149659864
5.917099108234312, 5.510204081632653
6.602796176960543, 6.08843537414966
7.906043210907698, 7.040816326530613
10.31823565045407, 8.503401360544219
12.748003583136729, 9.693877551020408
14.004206414280508, 10.204081632653063
16.25115953556669, 10.98639455782313
20.55536391850921, 12.07482993197279
24.806061902520113, 12.891156462585036
27.037889518863615, 13.265306122448981
30.647465005601205, 13.741496598639458
37.864418582867756, 14.455782312925171
44.98432668969444, 15.000000000000002
48.64910219855283, 15.238095238095239
55.14378835462922, 15.578231292517009
66.54711796333928, 16.122448979591837
78.44365539109329, 16.56462585034014
84.83428982440716, 16.7687074829932
93.92671112695506, 17.040816326530614
112.46578221198196, 17.551020408163268
130.5107419121913, 17.993197278911566
140.0420641428051, 18.231292517006803
153.841969069732, 18.537414965986397
179.92936232915517, 19.04761904761905
205.55363918509212, 19.48979591836735
218.84471064600325, 19.727891156462587
236.67351447252352, 19.965986394557824
270.37889518863614, 20.408163265306126
301.71148105292923, 20.74829931972789
318.7141611585069, 20.918367346938776
339.3221771895326, 21.054421768707485
372.7593720314938, 21.156462585034017
